Parent_SKU,Child_SKU
boy_nice_green,boy_nice_green
boy_nice_green,boy_nice_white_green
boy_nice_green,boy_nice_white_green_c2
boy_nice_green,boy_nice_white_green_c3
boy_nice_green,boy_nice_white_green_c4
boy_nice_white_brown,boy_nice_white_brown
boy_nice_white_brown,boy_nice_white_brown_c2
boy_nice_white_brown,boy_nice_white_brown_c3
girl_dark_pink_flower,girl_dark_pink_flower_c1
girl_dark_pink_flower,girl_dark_pink_flower_c2
girl_red_flower,girl_red_flower_c1
girl_red_flower,girl_red_flower_c2
girl_methi_flower,girl_methi_flower_c1
girl_light_pink_flower,girl_light_pink_flower_c1
boy_run_marron, boy_run_marron_c1
boy_run_blue,boy_run_blue_c1
boy_run_yellow,boy_run_yellow_c1
boy_run_green,boy_run_green_c1
boy_black_brown_mario,black_mario
boy_black_brown_mario,boy_black_brown_mario
boy_white_brown_mario,boy_white_brown_mario
boy_white_orange_mario,orange_white_mario
boy_white_orange_mario,boy_white_orange_mario
girl_methi_heart,girl_methi_heart_c1
girl_blank_pinch_cycle,girl_blank_pinch_cycle
girl_blank_pinch_cycle,girl_black_peach_c1
girl_blank_pinch_cycle,girl_black_peach_cycle_c4
girl_blank_pinch_cycle,girl_blank_pinch_cycle_c3
girl_space_time,girl_space_time_c2
girl_white_pink_butterfly,girl_white_pink_butterfly
girl_white_pink_butterfly,girl_white_pink_c2
girl_white_pink_butterfly,girl_white_pink_butterfly_c3
